id,abstract,content,s_content,t_content,img,ref,click,share,good,edittime,tag,items,lemmaID,editor_goodVersionCount,editor_commitPassedCount,editor_level,editor_featuredLemmaCount,editor_createPassedCount,editor_commitTotalCount,editor_experience,editor_passRatio,flag
1,263,8539,4,7,13,35,250879122,10620,60079,517,1,1,85895,21.48,349276,5.8,17.2,5558.88,401995,16075.1,85.76,1
6,239,4278,7,16,9,10,5035149,875,4599,304,1,1,85904,472.52,654574,6.2,115.8,9256.32,736120,343627000,86.04,1
12,413,15421,8,15,15,5,13551149,671,4337,446,1,6,13497,15.52,408724,4.92,8.16,5348.6,462775,171803000,86.68,1
25,112,1310,6,0,2,7,610692,19,1930,39,4,8,7259092,15.4,409197,4.84,13.56,5023.88,463103,171803000,74.6,1
29,225,12524,10,10,8,51,11084097,1134,18550,652,2,2,85979,407.4,344369,7.96,103.8,3435.84,397129,32095,88.08,1
31,186,6945,8,9,2,14,3305445,566,1967,78,2,1,9241230,0.8,66103,3.28,1,2176.48,67560.3,171801000,81.92,1
77,230,2843,6,2,2,5,364593,55,360,27,1,1,8084379,136,237941,6.04,6.48,4042.92,265635,171814000,85.16,1
96,93,1073,6,2,0,11,2188167,72,2324,93,9,4,86825,29.08,409769,4.88,28.04,5069.12,463864,171810000,85.68,1
98,110,2497,6,0,3,13,1349646,184,1714,54,5,2,86851,11.56,173248,5.68,8.96,1581.4,199848,6396.28,85.4,1
101,87,1682,8,4,0,15,4284823,30,18356,33,1,8,4881779,76.76,339724,4.24,73.44,2924.4,392288,14364.8,79.32,1
105,637,11904,7,22,14,113,18134727,1144,20255,974,3,1,86964,48.4,356822,8,42.92,7614.64,409647,33820.4,93.36,1
111,293,5115,8,6,8,10,13979191,356,1826,104,3,3,3032766,55.2,442042,6.56,56.04,2981.88,495325,17461.8,85.92,1
153,299,5600,4,6,7,33,7304498,342,17030,249,2,2,499,24.84,244317,4.68,20.56,3654.12,272107,171805000,82.28,1
181,241,2374,8,4,26,12,3814748,79,5917,38,6,12,13989057,30.64,238497,4.88,24.2,3813.16,266151,171807000,90.32,1
277,139,1418,7,4,0,9,306785,16,1521,28,1,2,19667603,17.52,173240,5.68,17.56,1466.24,199647,6039.36,93.76,1
294,521,15596,4,9,16,45,36381949,4882,74134,526,4,17,137575,77.08,510918,5.92,48.76,4474.4,590087,12674.8,85.2,1
366,288,3308,5,7,7,10,8463613,882,29458,692,2,1,91499,2.28,512211,4.56,2.4,4310.84,591780,356.56,80.64,1
386,292,5359,7,2,7,27,1015098,180,1991,74,1,1,91855,170.04,180001,6.32,118.96,2299.12,206688,37864,85,1
396,271,2181,6,0,4,9,1157125,135,2839,128,4,38,7391401,747.6,26636.2,10.04,576.8,968.4,27173.5,179881,92.56,1
418,445,7965,10,9,20,25,2796036,300,2435,161,6,3,92422,56.96,343584,8.04,44.88,3182.72,396361,39085.2,88.52,1
421,473,9714,6,11,12,25,3300876,1013,5319,125,4,2,9392,3078.24,188224,7.84,632,6612.76,214913,159355,91.88,1
